id,title,is_paid,num_subscribers,avg_rating,num_reviews,is_wishlisted,num_published_lectures,num_published_practice_tests,discount_price__amount,price_detail__amount,created_year,created_month,published_year,published_month,Rating_recent,Actual_Price
526936,NLP for Entrepreneurial Couples - Monetize Your Passion Now!,True,757,4.55556,9,False,16,0,455.0,8640,2015,6,2015,6,5,8185.0
1302798,Get Started In Real Estate Investing & 9 Reasons to act,True,34,4.27778,9,False,27,0,455.0,1920,2017,7,2017,8,4,1465.0
1383592,Becoming a Manager Bootcamp,True,1194,3.77778,9,False,100,0,455.0,8640,2017,10,2017,10,3,8185.0
1319384,Sarbanes-Oxley (SOX): Top Down Risk Assessment Part 1,True,46,3.77778,9,False,11,0,455.0,6400,2017,8,2017,12,4,5945.0
2854258,HIPAA & HITECH Part 3: Assessments & Risk Analysis,True,24,4.33333,9,False,8,1,455.0,1280,2020,3,2020,3,4,825.0
722150,How to Launch Your First Amazon Kindle Book,True,422,4.44444,9,False,14,0,455.0,1280,2016,1,2016,2,4,825.0
1898284,QlikView Dashboard Development,True,43,3.83333,9,False,35,0,455.0,8000,2018,9,2018,9,4,7545.0
2272466,Prep to Pass  Professional in Human Resources (PHR)® Exam,True,47,4.33333,9,False,17,1,2400.0,8640,2019,3,2020,6,4,6240.0
1333462,Risk Reversal Options Trading Strategy Certification,True,3374,4.16667,9,False,20,1,455.0,1280,2017,8,2017,8,4,825.0
249050,"Write, Publish and Sell Your Book With Lightning Speed",True,112,4.11111,9,False,14,0,455.0,1280,2014,6,2014,6,4,825.0
2360942,Understanding Financial stock trading using segmentation,True,1771,3.5,9,False,22,0,455.0,6720,2019,5,2019,5,3,6265.0
2782024,B2B Sales: Sales Skills To Close High Ticket Sales,True,60,4.55556,9,False,92,0,455.0,8640,2020,1,2020,7,5,8185.0
2604994,How to Write a One Page Communication Plan,True,32,4.22222,9,False,9,0,455.0,1280,2019,10,2019,10,4,825.0
2388382,Aerospace: How to make a FAI report pack to AS9102B,True,34,3.66667,9,False,12,0,455.0,6400,2019,5,2019,6,4,5945.0
1829840,Learn To Understand Real Estate,True,42,4.61111,9,False,30,0,455.0,1280,2018,7,2018,8,5,825.0
1695434,Managing People in Business,True,41,3.44444,9,False,47,0,455.0,8640,2018,5,2018,10,3,8185.0
1684070,Stock Investing Level 2: Swimming In Cash,True,345,4.55556,9,False,14,0,455.0,1280,2018,5,2018,6,5,825.0
2244726,Trade Credit Analysis Bootcamp,True,82,3.94444,9,False,10,0,455.0,6400,2019,2,2019,6,4,5945.0
